代码,时间,开盘价,最高价,最低价,收盘价,成交量,成交额
SZ399320,2015-08-05,3345.0700,3372.6400,3263.4700,3284.4000,5748014400,59570163712.00
SZ399321,2015-08-05,4787.8500,4803.5100,4716.2200,4716.2200,5608012800,57270157312.00
SZ399322,2015-08-05,5850.5600,5872.7600,5755.3700,5755.3700,4895146000,71536041984.00
SZ399326,2015-08-05,5756.8400,5791.7900,5634.1700,5641.6200,719901000,19000500224.00
SZ399328,2015-08-05,6366.4500,6397.8600,6248.1400,6256.4200,1328798400,23914680320.00
SZ399330,2015-08-05,4413.7900,4448.2200,4330.5900,4340.6100,4334069200,75017109504.00
SZ399332,2015-08-05,7933.1600,8030.3400,7757.9800,7791.3600,2326100000,38900584448.00
SZ399333,2015-08-05,9314.9700,9420.8000,9131.6500,9176.7800,2297608800,53560737792.00
SZ399335,2015-08-05,5212.3300,5244.3800,5099.1600,5140.7800,1802060000,35615203328.00
SZ399337,2015-08-05,5279.8000,5338.3600,5163.1700,5186.8100,2774596600,65868075008.00
SZ399339,2015-08-05,6305.6400,6385.0300,6145.7500,6188.2200,3386930000,73700114432.00
SZ399341,2015-08-05,1325.4000,1334.8300,1299.6900,1303.9300,2882567200,48097804288.00
SZ399344,2015-08-05,5868.3800,5928.0300,5748.7900,5779.8000,9879249600,175733669888.00
SZ399346,2015-08-05,4502.8300,4533.3500,4405.6800,4413.3900,3195438400,60343255040.00
SZ399348,2015-08-05,5266.5800,5303.2000,5168.8700,5183.0300,4381312800,50986467328.00
SZ399350,2015-08-05,1931.1600,1976.0300,1916.2600,1923.3400,742908900,11892695040.00
SZ399351,2015-08-05,5443.9600,5456.6100,5348.4900,5353.5600,1582233900,30487293952.00
SZ399352,2015-08-05,6162.9800,6205.0700,6054.7800,6072.1200,3910932000,74511515648.00
SZ399353,2015-08-05,4013.2100,4035.8200,3905.4600,3935.9000,2884026400,29456740352.00
SZ399355,2015-08-05,3960.3500,3974.5800,3866.2800,3875.4100,2334725600,39825072128.00
SZ399356,2015-08-05,6452.9400,6468.7800,6325.6400,6328.9200,2083917200,35699818496.00
